headline,url,summary
"UK town sees nearly 200 homes evacuated over potential explosives threat, 2 men arrested",https://www.foxnews.com/world/uk-town-sees-nearly-200-homes-evacuated-over-potential-explosives-threat-2-men-arrested,"A major incident was declared in Derby, England, after police executed a warrant on Vulcan Street and arrested two men on suspicion of explosive offenses."
Former Biden advisor questions internal 'incentive' for Congress to reopen government,https://www.foxnews.com/video/6384484063112,'Special Report' panelists discuss how Americans are feeling the impacts of the government shutdown and the legality of President Donald Trump's tariffs.
TREY GOWDY: China is misjudging Trump on trade. It may soon be very surprised,https://www.foxnews.com/opinion/trey-gowdy-china-misjudging-trump-trade-may-soon-surprised,President Donald Trump threatens 100% tariffs on Chinese imports after China threatens U.S. rare earth mineral access as meeting with Xi Jinping is off.
Former DHS advisor says IL leadership's refusal to accept help from Trump admin is out of 'hatred of the President',https://www.foxnews.com/video/6382658981112,Former Homeland Security advisor Chuck Marino discusses Illinois leadership's consistent refusal to receive help from the Trump administration to crack down on crime on 'Fox Report.'
"These random attacks have nothing to do with oversight, deputy attorney general says",https://www.foxnews.com/video/6382234252112,Deputy Attorney General Todd Blanche discusses Attorney General Pam Bondi's interaction with Democratic senators on Capitol Hill and efforts to stop crime on 'Hannity.'
Ford CEO highlights importance of youth learning trades,https://www.foxnews.com/video/6382066701112,Graham Industries owner Matt Graham joins 'Fox & Friends Weekend' to discuss the importance of American youth learning and entering careers in trades and the benefits of working with his son.
911 audio of Iryna Zarutska attack released,https://www.foxnews.com/video/6380645062112,WARNING: Graphic content — Fox News correspondent Christina Coleman reports on newly released 911 calls made after Ukrainian refugee Iryna Zarutska was stabbed on a Charlotte light rail train on 'Jesse Watters Primetime.'
Former FBI investigator sounds alarm about threat of political violence after Michigan church attack,https://www.foxnews.com/video/6380293132112,Former FBI investigator Bill Daly discusses the threat of political violence in America after a deadly Michigan church attack on ‘The Will Cain Show.’
DOJ defends indictment of former FBI Director James Comey,https://www.foxnews.com/video/6380156855112,Deputy Attorney General Todd Blanche joins ‘America Reports’ to discuss the indictment of former FBI Director James Comey.
Unprovoked broad daylight Seattle stabbing caught on video,https://www.foxnews.com/video/6379983123112,Seattle police arrested a suspect who allegedly tried to flee responding officers near the scene and has a rap sheet going back decades. (Credit: Seattle Police Department)
"This is an 'embarrassing moment' for Britain, says UK journalist",https://www.foxnews.com/video/6379731931112,British journalist and Royal expert Jonathan Sacerdoti joins 'Fox & Friends' to discuss President Donald Trump's negotiations with United Kingdom Prime Minister Keir Starmer.
"Republicans will continue winning but only if they solve crime in their own states, attorney argues",https://www.foxnews.com/video/6379506019112,"Panelists Mehek Cooke and Julian Epstein weigh in on President Donald Trump extending his crime crackdown to Memphis, Tennessee, on 'Fox News @ Night.'"
"Police presence among 'best crime deterrents,' Vermont law enforcement officer says",https://www.foxnews.com/video/6378557553112,"Vermont law enforcement officer Jimmy Baldea spoke with Fox News Digital about the crime rates in Vermont, and said that a police presence is one of ""the best crime deterrents."""
Vivek Ramaswamy worried about Gen Z's relationship to free speech,https://www.foxnews.com/video/6379284501112,Ohio GOP gubernatorial candidate Vivek Ramaswamy remembers Turning Point USA founder Charlie Kirk on ‘The Ingraham Angle.’
Video appears to show person of interest in Charlie Kirk assassination,https://www.foxnews.com/video/6379188898112,"A video appears to show a person of interest in the Charlie Kirk assassination walking near Utah Valley University before the shooting on Sept. 10, 2025. (Credit: TMZ)"
Charlie Kirk remembered as 'one of the great patriots' of the century,https://www.foxnews.com/video/6379114065112,Fox News contributor Joe Concha reflects on Charlie Kirk's impact on the conservative movement.
"Charlie Kirk's message was one of love, Jesus Christ and prayer, says Jason Chaffetz",https://www.foxnews.com/video/6379063964112,Fox News contributor Jason Chaffetz reflects on Charlie Kirk’s life and legacy on 'The Will Cain Show.'
Media accused of 'politicizing' brutal slaying of Ukrainian refugee,https://www.foxnews.com/video/6378928577112,'Outnumbered' panelists weigh in after liberal media outlets claimed the video showing the murder of Ukrainian refugee Iryna Zarutska added fuel to President Donald Trump's crackdown on crime.
Democrats outraged over Trump's possible crime crackdown in Chicago,https://www.foxnews.com/video/6378807965112,'The Will Cain Show' host Will Cain joins 'America's Newsroom' to discuss Democrats' defiance to federal help in Chicago as residents in the Windy City battle rampant violence.
Florida sheriff says 14-year-old girl would have not been sexually assaulted if illegal immigrant was stopped at the border,https://www.foxnews.com/video/6378544735112,The Pasco Sheriff's Office announced the arrest of a 53-year-old illegal immigrant who allegedly had forced sex with a 14-year-old girl. (Credit: Pasco Sheriff's Office)
Video shows 'missing minute' from previous Epstein jail camera release,https://www.foxnews.com/video/6378228385112,"Video shows a minute that was missing during a previous release of surveillance camera video files in Jeffrey Epstein's jail area in the Metropolitan Correctional Center. That minute lasted from 11:58:59 to midnight on August 10, 2019."
Rep. Malliotakis calls for ‘bipartisan’ work in Congress to avoid government shutdown,https://www.foxnews.com/video/6377937855112,"Rep. Nicole Malliotakis, R-N.Y., discusses President Donald Trump’s crime crackdown in Washington, D.C., and reveals how Congress can avoid a government shutdown on ‘Fox News Live.’"
