"month_year","cnn_sentiment","fox_sentiment"
"2025-12","88","51"
"2025-11","84","77"
"2025-10","78","70"
"2025-09","90","57"
"2025-08","76","73"
"2025-07","77","43"
"2025-06","70","46"
"2025-05","98","59"
"2025-04","95","64"
"2025-03","93","38"
"2025-02","89","54"
"2025-01","68","60"
"2024-12","70","65"
"2024-11","70","78"
"2024-10","57","79"
"2024-09","58","72"
"2024-08","60","92"
"2024-07","60","80"
"2024-06","73","0"
"2024-05","69","0"
"2024-04","77","0"
"2024-03","60","0"
"2024-02","64","0"
"2024-01","56","0"
"2023-12","45","0"
"2023-11","69","0"
"2023-10","64","0"
"2023-09","72","0"
"2023-08","81","0"
"2023-07","68","0"
"2023-06","74","0"
"2023-05","80","0"
"2023-04","85","0"
"2023-03","77","0"
"2023-02","86","0"
"2023-01","80","0"
"2022-12","72","0"
"2022-11","72","0"
"2022-10","82","0"
"2022-09","82","0"
"2022-08","85","0"
"2022-07","85","0"
"2022-06","90","0"
"2022-05","73","0"
"2022-04","62","0"
"2022-03","77","0"
"2022-02","73","0"
"2022-01","63","0"
"2021-12","37","0"
"2021-11","69","0"
"2021-10","76","0"
"2021-09","58","0"
"2021-08","85","0"
"2021-07","63","0"
"2021-06","70","0"
"2021-05","57","0"
"2021-04","71","0"
"2021-03","45","0"
"2021-02","66","0"
"2021-01","100","0"
"2020-12","100","0"
