"month_year","news_site","topic_inflation_sum","topic_taxes_sum","topic_stocks_sum","topic_jobs_sum","topic_housing_sum","topic_energy_sum","topic_crypto_sum"
"2025-06","FOX","46","93","6","60","73","46","6"
"2025-05","FOX","52","90","21","64","42","40","2"
"2024-09","FOX","72","87","12","57","59","51","4"
"2024-11","CNN","82","73","29","52","79","47","5"
"2023-09","CNN","81","79","31","63","72","59","0"
"2023-07","CNN","91","78","36","52","57","59","1"
"2023-02","CNN","78","72","24","51","70","51","5"
"2022-12","CNN","74","53","27","46","58","58","11"
"2024-08","CNN","86","52","55","78","73","52","2"
"2023-12","CNN","97","57","40","51","77","45","0"
"2025-07","CNN","85","81","48","40","48","44","7"
"2024-04","CNN","79","93","48","59","73","61","4"
"2021-01","CNN","0","85","14","85","42","42","0"
"2021-06","CNN","35","80","25","50","60","40","0"
"2021-04","CNN","21","85","14","64","64","42","0"
"2025-12","FOX","83","83","13","59","78","59","0"
"2025-10","FOX","55","77","14","59","44","55","0"
"2025-08","FOX","47","79","17","47","64","47","8"
"2025-07","FOX","40","81","16","56","51","54","0"
"2025-03","FOX","47","88","8","58","44","41","5"
"2024-11","FOX","75","71","14","53","60","67","0"
"2025-11","CNN","74","75","41","48","63","42","12"
"2023-10","CNN","80","73","40","56","78","49","1"
"2023-08","CNN","92","66","37","61","61","51","3"
"2022-11","CNN","91","56","16","45","51","64","5"
"2022-10","CNN","89","65","34","40","59","57","4"
"2022-08","CNN","88","65","20","34","62","68","2"
"2022-09","CNN","85","80","39","53","63","56","4"
"2025-09","CNN","81","75","39","72","63","51","3"
"2025-05","CNN","77","82","35","38","54","42","1"
"2024-03","CNN","81","76","32","67","81","44","4"
"2024-02","CNN","82","79","58","58","70","44","2"
"2025-04","CNN","78","82","57","53","63","46","4"
"2022-06","CNN","87","78","45","48","72","72","9"
"2022-03","CNN","77","77","22","30","75","72","5"
"2023-06","CNN","84","60","32","54","64","64","2"
"2021-02","CNN","44","100","33","55","22","44","22"
"2021-10","CNN","80","56","20","64","52","56","0"
"2020-12","CNN","0","66","0","100","33","33","0"
"2025-11","FOX","64","88","13","57","66","40","0"
"2025-09","FOX","53","88","15","53","61","38","0"
"2025-01","FOX","52","73","0","69","34","52","4"
"2024-12","FOX","72","68","3","55","48","31","6"
"2024-10","FOX","76","87","10","64","82","66","0"
"2025-12","CNN","82","69","24","51","66","40","9"
"2025-10","CNN","55","65","36","50","57","44","0"
"2025-03","CNN","81","83","46","61","55","53","0"
"2023-11","CNN","72","72","30","51","72","51","0"
"2023-03","CNN","61","65","42","35","57","57","10"
"2022-07","CNN","94","77","42","51","71","65","5"
"2025-08","CNN","70","82","41","35","58","52","0"
"2024-06","CNN","82","79","47","61","79","52","0"
"2024-10","CNN","82","67","22","65","62","40","0"
"2024-01","CNN","80","73","40","56","73","57","7"
"2024-07","CNN","86","79","44","53","62","34","0"
"2022-02","CNN","71","60","31","51","62","57","11"
"2021-12","CNN","75","43","37","81","50","43","12"
"2022-05","CNN","80","73","36","43","63","70","10"
"2021-08","CNN","57","78","35","50","57","35","0"
"2021-03","CNN","15","96","12","51","78","12","6"
"2021-11","CNN","65","61","15","38","57","53","0"
"2025-04","FOX","51","89","37","58","50","44","0"
"2025-02","FOX","47","81","6","59","50","43","4"
"2024-08","FOX","84","76","20","42","53","53","0"
"2024-07","FOX","80","80","10","80","80","70","0"
"2025-06","CNN","76","74","40","54","60","50","2"
"2024-12","CNN","64","74","19","32","83","51","6"
"2024-05","CNN","86","86","32","58","67","44","2"
"2023-01","CNN","78","78","30","52","63","47","6"
"2023-05","CNN","58","79","39","47","66","52","0"
"2025-02","CNN","72","86","34","48","58","37","0"
"2024-09","CNN","92","66","25","61","84","46","0"
"2025-01","CNN","76","84","26","65","63","65","0"
"2022-01","CNN","78","66","45","63","54","45","12"
"2021-05","CNN","50","85","35","71","50","50","21"
"2021-07","CNN","45","72","45","27","36","63","9"
"2022-04","CNN","72","79","31","44","58","55","6"
"2023-04","CNN","77","83","38","53","63","67","2"
"2021-09","CNN","47","70","17","64","70","52","5"
